高维学堂2025年课程表（动态更新）,,,,,,,,,,,
"备注：
①因不可抗力因素，部分课程的开课时间会根据情况调整，调整时间以通知为准
②极少部分课程价格会因成本变化调整，如出现上调情况，班主任会及时告知
③【所有课程都有提供内训、咨询、详询班主任】
④ “学习卡兑换次数” 介绍详见此二维码：",,,,,,,,,,,
分类,商学课/课后辅导/入企服务,老师,老师简介,适学对象,课程价值,上课日期,上课城市,课程学费（人/元）,学习卡兑换次数,,
战略＆业务,"《升级定位与品牌战略》
 
 全套品牌打法，瞄准品类第一","冯卫东、
快刀何","冯卫东 老师
 天图投资创始合伙人
 华章全球大师经典《升级定位》作者
 用真金白银检验和发展定位方法论
 他让定位从“一学就懂、一用就错”变得有章可循可落地。
 代表投资项目：周黑鸭、百果园、小红书、蘑菇街、饭扫光、奈雪、飞贷、三顿半等消费类品牌
 
 快刀何 老师
 升级定位咨询创始合伙人，高维学堂常驻导师
 ５年咨询辅导30+品类第一品牌：科大讯飞智能办公本、八马茶业、DR钻戒、蔬果园洗衣凝珠、兴趣岛兴趣学堂、核桃少儿编程、希望树除醛宝、官栈花胶、鹿客指脉锁、赛波斯地毯、江中药业、好医生药业等","适合企业：
 （1）赛道竞争激烈，需要品牌化，实现竞争破局的；
 （2）进入快速增长通道或开启第二曲线，需要打好品牌战略地基，避免二次返工的；
 （3）投放金额数千万、数亿元的电商品牌，不想纯靠砸钱做流量，想要品牌获客的；
 （4）准备大规模投放电梯广告、户外广告，需要品牌定位校准的；
 
 不适合的企业及人群：
 （1）初次创业，尚处于从0到1的验证阶段的；
 （2）只想抓流量红利、打造网红品牌，赚风口块钱的；
 （3）小富即安，不想做出强大品牌的；
 （4）混圈子，不是真正想要学习的。","1、双师联手：最懂定位的投资人冯卫东老师，联手升级定位实操专家快刀何老师，在《升级定位》精华内容的基础上，增加最新咨询案例及实战方法拆解，从系统方法论到落地打法。
 2、案例教学：每天两轮提问答疑，学员提出真实困惑及卡点，讲师现场解答，一两句话可能远超学费。同学带实体产品到课堂，有机会获得老师的现场点评和指导。
 3、学长支招：本次课程特设品牌之夜活动，邀请最有成果的3-5位学长代表走到讲台，解析品牌的定位要义、实操要害，用最新一线实践启发你破解品牌战略落地难题，解析如何端到端落地拿成果。",3月15-16日,深圳,"￥19,800",2次/人,,"?新课预告：

《做对股权激励》√
《跨境供应链提效降本方案班》√
《创始人的法律必修课》√
《AI时代的企业进化》√
《全域流量布局与经营》
《关键人才争夺战》
《导向经营的绩效体系设计》
《创始人的营销全景课》
《跨境电商DTC经营分析方案班》"
,,,,,,5月24-25日,深圳,,,,
,,,,,,6月28-29日,上海,,,,
,,,,,,9月13-14日,深圳,,,,
,,,,,,12月6-7日,深圳,,,,
战略＆业务,"《战略设计总纲课》NEW
 
 找到战略内核,跟上产业变迁",刘绍荣,"BCG前高级战略顾问及高级合伙人
 资深战略与组织变革专家","创始人、高管团队、业务一号位
 
 建议创始人带团队学习，快速共识和同频","了解7大战略制定误区，从“老板指挥”思维转变为“战略驱动”思维；
 掌握具有前瞻性的战略洞察和解码方法，找准战略支点与突围之路；
 掌握敏捷的战略体系制定方法，化抽象为具象，将不确定转变成确定性；
 通过绘制战略地图，将抽象的战略转化为可执行的量化目标。",1月4-5日,深圳,"￥6,920",1次/人,,
,,,,,,3月15-16日,深圳,,,,
,,,,,,4月12-13日,上海,,,,
,,,,,,5月10-11日,广州,,,,
,,,,,,6月7-8日,上海,,,,
,,,,,,7月19-20日,深圳,,,,
战略＆业务,"《业务领先战略》
  
  找到战略机会点，构建战略控制点",汪瀛,"国内某标杆企业历任战略与市场部总监
 20+年战略与产品管理实战经验
  滴滴、立邦、洽洽等多家企业战略顾问",创始人、CEO、CTO、CFO等一把手和高管（团队共学，认知同频，效果更佳）,"完整讲解标杆企业BLM模型
 模型方法：战略洞察、五看三定、业务设计、战略解码
 工具：波士顿矩阵、安索夫矩阵、SPAN图",3月22-23日,深圳,"￥6,920",1次/人,,
,,,,,,4月26-27日,上海,,,,
,,,,,,5月17-18日,北京,,,,
,,,,,,6月21-22日,深圳,,,,
,,,,,,9月27-28日,上海,,,,
,,,,,,10月25-26日,广州,,,,
战略＆业务,"《AI与用户研究实战》
 
 探寻产品与用户的最佳契合点",科叔,"20+年深耕用户研究/产品创新
  用最有趣的方式传播产品知识
  曾服务vivo、HP等多家世界级企业",,"科学的做好用研，会给企业带来什么价值？
 1、更好的产品设计：了解用户的需求和偏好，设计出更符合用户需求的产品，提高产品的用户体验和满意度。
 2、 提高市场竞争力：了解市场需求和竞争对手的产品特点，制定更有效的市场策略，提高企业的市场竞争力。
 3、降低产品开发成本：了解用户需求和偏好，从而避免不必要的产品开发和改进，降低产品开发成本。
 4、提高用户忠诚度：了解用户需求和偏好，从而提供更符合用户需求的产品和服务，提高用户的满意度和忠诚度。
 5、增加收入和利润：了解用户需求和偏好，从而开发出更受欢迎的产品和服务，增加收入和利润。",3月22-23日,深圳,"￥4,920",1次/人,,
,,,,,,5月10-11日,杭州,,,,
,,,,,,6月7-8日,广州,,,,
,,,,,,8月16-17日,深圳,,,,
,,,,,,9月27-28日,杭州,,,,
,,,,,,11月22-23日,深圳,,,,
,,,,,,12月20-21日,杭州,,,,
战略＆业务,"《产品开发管理IPD》
  
  从客户需求到产品成功",刘红革,"国内某标杆企业原IPD首任项目经理、研发副总裁
  15年标杆企业工作经验
  IPD资深专家","建议参加人员：
 1、创始人/CEO，IPD变革是创始人工程。
 2、研发总经理、负责人、总监
 3、产品经理、项目经理、开发代表、市场负责人、采购负责人。","1、学习标杆企业世界级的研发管理流程（IPD）；
  2、全面理解从市场需求、产品规划到产品研发到生命周期管理的产品管理全过程；
  3、了解如何运作跨部门团队和团队的关键成功要素；
  4、结合企业实际，提出研发流程改进思路和设想，找到研发管理问题的解决方案。",3月15-16日,上海,"￥4,920",1次/人,,
,,,,,,4月12-13日,深圳,,,,
,,,,,,6月21-22日,上海,,,,
,,,,,,8月23-24日,深圳,,,,
,,,,,,10月18-19日,上海,,,,
,,,,,,11月29-30日,深圳,,,,
战略＆业务,"《品牌投放策略》
  
  从1到10的消费品投放策略",陈陶琦,"MGCC众引传播合伙人
  10亿年营业额的营销机构合伙缔造者",消费品牌创始人、合伙人及营销/市场/传播负责人,"1、看清影响全链路的投放产出因素;
 2、理解制定核心增长策略的方法;
 3、获得数字环境下可复制的投放思维;
 4、认识在抖音和小红书打响社交传播的底层逻辑;
 5、掌握营销资源的布局和组合心法",3月29-30日,上海,"￥6,920",1次/人,,
,,,,,,5月10-11日,深圳,,,,
,,,,,,6月14-15日,杭州,,,,
,,,,,,8月23-24日,深圳,,,,
,,,,,,9月20-21日,杭州,,,,
,,,,,,11月22-23日,深圳,,,,
战略＆业务,"《小红书高效种草》
  
 种出品效合一","陈陶琦
 ","Ronnie陈陶琦
  MGCC众引传播合伙人
  众麟资本合伙人","以小红书为核心传播平台和销售的消费品牌，包括的行业有食品饮料、美妆个护、消费3C、母婴健康、家装家居、服饰运动、本地生活等
 
 建议已经入局的学友参加
 适合人员：品牌创始人/主理人，品牌和市场营销团队、社媒投放和内容团队","1、理解小红书平台营销逻辑，找到品类/品牌机会
2、洞察人、货、场，梳理小红书核心内容策略3、筛选合作达人，制定关键测试指标
4、梳理放量手段，实现流量全链路多级放大和后端收割
5、掌握预算分配原则及组织人员配套",2月26日,线上,18000元/企业,3次/企业,,
战略＆业务,"《品牌体验设计》

关键时刻MOT
增量存量，双增长模型",汪志谦,"
两岸殿堂级品牌增长名师
香港大学副教授
畅销书《峰值体验》《峰值体验2》作者

超过二十年之全球企业及B2B、B2C品牌管理经验，以原创「MOTX体验设计商业化方法学」，成功协助「索菲亚整家定制、喜马拉雅app、学而思网校、滴滴代驾、每日黑巧、Ubras、德施曼智能锁、奈尔宝家庭中心、核桃编程、燕之屋」等数百个行业领导品牌，实现品牌成长","CEO、企业创始人
 首席增长官、品牌营销官、品牌战略高管
 营运总监、业务最高主管、体验设计高管
 产品经理，定位产品方向与核心竞争规格的团队
 
 
 注明：应老师要求，定位、品牌、用户体验类咨询/培训同行、广告公司、设计公司 请绕行，谢谢理解。
 
 适用场景：实体门店、网上店铺、各类品牌营销活动增长优化和突破。
 【注：为保证学习效果，更好在企业落地，创始人等一把手需要带头先行参与】",1、这是一门基于品牌定位下沉一层落地实操课；2、融合了五大核心前沿思想学科做理论根基；3、简单、系统、实用、易落地；4、港大商学院、高维学友接近满分推荐,3月8-9日,上海,"￥7,330",1次/人,,
,,,,,,4月12-13日,深圳,,,,
,,,,,,5月17-18日,上海,,,,
,,,,,,6月28-29日,广州,,,,
,,,,,,9月6-7日,上海,,,,
,,,,,,10月25-26日,深圳,,,,
,,,,,,12月13-14日,上海,,,,
